00 -0.1000
-9.÷4.29 85.7936 -0.1000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.29 0.0000 0.0000
4.27 -0.3067 0.1000
4.27 0.0000 0.0000
4.29 0.3067 -0.1000
4.29 0.0000 0.0000
4.31 0.3067 -0.1000
4.29 -0.3067 0.1000
4.29 0.0000 0.0000
4.27 -0.3067 0.1000
4.29 0.3067 -0.1000
4.27 -0.3067 0.1000
4.31 0.6133 -0.1000
4.29 -0.3067 0.1000
4.31 0.3067 -0.1000
4.29 -0.3067 0.1000
4.31 0.3067 -0.1000
4.27 -0.6133 0.1000
4.31 0.6133 -0.1000
4.27 -0.6133 0.1000
4.32 0.9200 -0.1000
4.27 -0.9200 0.1000
4.31 0.6133 -0.1000
4.27 -0.6133 0.1000
4.32 0.9200 -0.1000
4.27 -0.9200 0.1000
4.31 0.6133 -0.1000
4.27 -0.6133 0.1000
4.31 0.6133 -0.1000
4.27 -0.6133 0.1000
4.32 0.9200 -0.1000
4.27 -0.9200 0.1000
4.31 0.6133 -0.1000
4.27 -0.6133 0.1000
4.31 0.6133 -0.1000
4.29 -0.3067 0.1000
4.31 0.3067 -0.1000
4.27 -0.6133 0.1000
4.32 0.9200 -0.1000
4.27 -0.9200 0.1000
4.31 0.6133 -0.1000
4.27 -0.6133 0.1000
4.31 0.6133 -0.1000
4.27 -0.6133 0.1000
4.31 0.6133 -0.1000
4.27 -0.6133 0.1000
4.31 0.6133 -0.1000
4.27 -0.6133 0.1000
4.31 0.6133 -0.1000
4.27 -0.6133 0.1000
4.32 0.9200 -0.1000
4.29 -0.6133 0.1000
4.31 0.3067 -0.1000
4.27 -0.6133 0.1000
4.32 0.9200 -0.1000
4.27 -0.9200 0.1000
4.32 0.9200 -0.1000
4.27 -0.9200 0.1000
4.31 0.6133 -0.1000
4.27 -0.6133 0.1000
4.31 0.6133 -0.1000
4.27 -0.6133 0.1000
4.32 0.9200 -0.1000
4.27 -0.9200 0.1000
4.31 0.6133 -0.1000
4.27 -0.6133 0.1000
4.32 0.9200 -0.1000
4.27 -0.9200 0.1000
4.31 0.6133 -0.1000
4.29 -0.3067 0.1000
4.31 0.3067 -0.1000
4.27 -0.6133 0.1000
4.32 0.9200 -0.1000
4.27 -0.9200 0.1000
4.32 0.9200 -0.1000
4.29 -0.6133 0.1000
4.31 0.3067 -0.1000
4.27 -0.6133 0.1000
4.31 0.6133 -0.1000
4.27 -0.6133 0.1000
4.31 0.6133 -0.1000
4.27 -0.6133 0.1000
4.31 0.6133 -0.1000
4.29 -0.3067 0.1000
4.32 0.6133 -0.1000
4.27 -0.9200 0.1000
4.31 0.6133 -0.1000
4.27 -0.6133 0.1000
4.31 0.6133 -0.1000
4.27 -0.6133 0.1000
4.31 0.6133 -0.1000
4.29 -0.3067 0.1000
4.31 0.3067 -0.1000
4.27 -0.6133 0.1000
4.31 0.6133 -0.1000
4.27 -0.6133 0.1000
4.31 0.6133 -0.1000
4.27 -0.6133 0.1000
4.31 0.6133 -0.1000
4.29 -0.3067 0.1000
4.32 0.6133 -0.1000
4.27 -0.9200 0.1000
4.31 0.6133 -0.1000
4.27 -0.6133 0.1000
4.32 0.9200 -0.1000
4.27 -0.9200 0.1000
4.32 0.9200 -0.1000
4.27 -0.9200 0.1000
4.32 0.9200 -0.1000
4.27 -0.9200 0.1000
4.31 0.6133 -0.1000
4.27 -0.6133 0.1000
4.32 0.9200 -0.1000
4.27 -0.9200 0.1000
4.32 0.9200 -0.1000
4.27 -0.9200 0.1000
4.32 0.9200 -0.1000
4.29 -0.6133 0.1000
