266 0.2208
-4.14 82.7270 -14.8909
4.12 -0.3067 0.0552
4.15 0.6133 -0.1104
4.11 -0.9200 0.1656
3.94 -3.3733 0.6072
3.94 0.0000 0.0000
3.85 -1.8400 0.3312
3.83 -0.3067 0.0552
3.80 -0.6133 0.1104
3.80 0.0000 0.0000
3.80 0.0000 0.0000
3.83 0.6133 -0.1104
3.85 0.3067 -0.0552
3.88 0.6133 -0.1104
3.89 0.3067 -0.0552
3.89 0.0000 0.0000
3.89 0.0000 0.0000
3.89 0.0000 0.0000
3.88 -0.3067 0.0552
3.89 0.3067 -0.0552
3.89 0.0000 0.0000
3.91 0.3067 -0.0552
3.91 0.0000 0.0000
3.91 0.0000 0.0000
3.91 0.0000 0.0000
3.91 0.0000 0.0000
3.91 0.0000 0.0000
3.92 0.3067 -0.0552
3.91 -0.3067 0.0552
3.92 0.3067 -0.0552
3.91 -0.3067 0.0552
3.92 0.3067 -0.0552
3.92 0.0000 0.0000
3.94 0.3067 -0.0552
3.94 0.0000 0.0000
3.94 0.0000 0.0000
3.94 0.0000 0.0000
3.94 0.0000 0.0000
3.94 0.0000 0.0000
3.95 0.3067 -0.0552
3.94 -0.3067 0.0552
3.95 0.3067 -0.0552
3.94 -0.3067 0.0552
3.95 0.3067 -0.0552
3.95 0.0000 0.0000
3.97 0.3067 -0.0552
3.97 0.0000 0.0000
3.97 0.0000 0.0000
3.97 0.0000 0.0000
3.97 0.0000 0.0000
3.97 0.0000 0.0000
3.98 0.3067 -0.0552
3.98 0.0000 0.0000
3.98 0.0000 0.0000
3.98 0.0000 0.0000
3.98 0.0000 0.0000
3.98 0.0000 0.0000
3.98 0.0000 0.0000
3.98 0.0000 0.0000
4.00 0.3067 -0.0552
4.00 0.0000 0.0000
4.00 0.0000 0.0000
3.98 -0.3067 0.0552
3.98 0.0000 0.0000
4.00 0.3067 -0.0552
4.00 0.0000 0.0000
4.01 0.3067 -0.0552
4.01 0.0000 0.0000
4.01 0.0000 0.0000
4.01 0.0000 0.0000
4.01 0.0000 0.0000
4.01 0.0000 0.0000
4.03 0.3067 -0.0552
4.03 0.0000 0.0000
4.04 0.3067 -0.0552
4.03 -0.3067 0.0552
4.03 0.0000 0.0000
4.03 0.0000 0.0000
4.03 0.0000 0.0000
4.04 0.3067 -0.0552
4.04 0.0000 0.0000
4.06 0.3067 -0.0552
4.06 0.0000 0.0000
4.06 0.0000 0.0000
4.06 0.0000 0.0000
4.04 -0.3067 0.0552
4.06 0.3067 -0.0552
4.06 0.0000 0.0000
4.06 0.0000 0.0000
4.08 0.3067 -0.0552
4.08 0.0000 0.0000
4.09 0.3067 -0.0552
4.08 -0.3067 0.0552
4.08 0.0000 0.0000
4.08 0.0000 0.0000
4.08 0.0000 0.0000
4.11 0.6133 -0.1104
4.09 -0.3067 0.0552
4.11 0.3067 -0.0552
4.11 0.0000 0.0000
4.12 0.3067 -0.0552
4.12 0.0000 0.0000
4.12 0.0000 0.0000
4.14 0.3067 -0.0552
4.14 0.0000 0.0000
4.14 0.0000 0.0000
4.14 0.0000 0.0000
4.14 0.0000 0.0000
4.15 0.3067 -0.0552
4.15 0.0000 0.0000
4.15 0.0000 0.0000
4.15 0.0000 0.0000
4.15 0.0000 0.0000
4.15 0.0000 0.0000
4.17 0.3067 -0.0552
4.17 0.0000 0.0000
4.17 0.0000 0.0000
4.17 0.0000 0.0000
4.17 0.0000 0.0000
4.17 0.0000 0.0000
4.17 0.0000 0.0000
4.17 0.0000 0.0000
4.17 0.0000 0.0000
4.17 0.0000 0.0000
4.18 0.3067 -0.0552
4.18 0.0000 0.0000
4.18 0.0000 0.0000
4.18 0.0000 0.0000
4.18 0.0000 0.0000
4.18 0.0000 0.0000
4.18 0.0000 0.0000
4.18 0.0000 0.0000
4.18 0.0000 0.0000
4.18 0.0000 0.0000
4.18 0.0000 0.0000
4.18 0.0000 0.0000
4.18 0.0000 0.0000
4.18 0.0000 0.0000
4.18 0.0000 0.0000
4.18 0.0000 0.0000
4.18 0.0000 0.0000
4.18 0.0000 0.0000
4.18 0.0000 0.0000
4.18 0.0000 0.0000
4.18 0.0000 0.0000
4.18 0.0000 0.0000
4.18 0.0000 0.0000
4.18 0.0000 0.0000
4.18 0.0000 0.0000
4.18 0.0000 0.0000
4.18 0.0000 0.0000
4.18 0.0000 0.0000
4.18 0.0000 0.0000
4.18 0.0000 0.0000
4.18 0.0000 0.0000
4.18 0.0000 0.0000
4.18 0.0000 0.0000
4.18 0.0000 0.0000
4.18 0.0000 0.0000
4.20 0.3067 -0.0552
4.20 0.0000 0.0000
4.20 0.0000 0.0000
4.18 -0.3067 0.0552
4.18 0.0000 0.0000
4.18 0.0000 0.0000
4.20 0.3067 -0.0552
4.21 0.3067 -0.0552
4.21 0.0000 0.0000
4.20 -0.3067 0.0552
4.20 0.0000 0.0000
4.20 0.0000 0.0000
4.21 0.3067 -0.0552
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.20 -0.3067 0.0552
4.20 0.0000 0.0000
4.21 0.3067 -0.0552
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.20 -0.3067 0.0552
4.21 0.3067 -0.0552
4.21 0.0000 0.0000
4.23 0.3067 -0.0552
4.21 -0.3067 0.0552
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.23 0.3067 -0.0552
4.23 0.0000 0.0000
4.23 0.0000 0.0000
4.21 -0.3067 0.0552
4.21 0.0000 0.0000
4.23 0.3067 -0.0552
